3.400;0.032;N
59.848;1.664;N
61.512;0.544;N
62.056;0.320;N
62.376;0.472;N
62.848;0.224;N
63.072;0.616;N
63.688;0.256;N
63.944;1.696;N
65.640;0.456;N
66.096;0.616;N
66.712;0.248;N
66.960;0.368;N
67.328;0.616;N
67.944;0.624;N
68.568;0.640;N
69.208;0.640;N
69.848;0.688;N
70.536;0.432;N
70.968;0.296;N
71.264;0.648;N
71.912;0.720;N
72.632;0.704;N
73.336;0.672;N
74.008;0.704;N
74.712;0.680;N
75.392;0.640;N
76.032;0.656;N
76.688;0.632;N
77.320;0.624;N
77.944;0.616;N
78.560;0.608;N
79.168;0.616;N
79.784;0.608;N
80.392;0.608;N
81.000;0.608;N
81.608;0.608;N
82.216;0.608;N
82.824;0.616;N
83.440;0.616;N
84.056;0.424;N
84.480;0.224;N
84.704;0.576;N
85.280;0.608;N
85.888;0.616;N
86.504;0.616;N
87.120;0.632;N
87.752;0.632;N
88.384;0.640;N
89.024;0.648;N
89.672;0.632;N
90.304;0.632;N
90.936;0.640;N
91.576;0.640;N
92.216;0.632;N
92.848;0.624;N
93.472;0.616;N
94.088;0.616;N
94.704;0.616;N
95.320;0.608;N
95.928;0.608;N
96.536;0.608;N
97.144;0.608;N
97.752;0.608;N
98.360;0.608;N
98.968;0.608;N
99.576;0.616;N
100.192;0.608;N
100.800;0.624;N
101.424;0.616;N
102.040;0.632;N
102.672;0.624;N
103.296;0.632;N
103.928;0.640;N
104.568;0.624;N
105.192;0.624;N
105.816;0.632;N
106.448;0.632;N
107.080;0.632;N
107.712;0.656;N
108.368;0.632;N
109.000;0.624;N
109.624;0.624;N
110.248;0.616;N
110.864;0.624;N
111.488;0.616;N
112.104;0.616;N
112.720;0.616;N
113.336;0.616;N
113.952;0.616;N
114.568;0.632;N
115.200;0.632;N
115.832;0.648;N
116.480;0.648;N
117.128;0.632;N
117.760;0.640;N
118.400;0.560;N
118.960;0.712;N
119.672;0.640;N
120.312;0.632;N
120.944;0.632;N
121.576;0.640;N
122.216;0.632;N
122.848;0.624;N
123.472;0.624;N
124.096;0.624;N
124.720;0.624;N
125.344;0.608;N
